Magna_6 Wind Direction,Magna_6 Wind Speed (m/s),Magna_6 Meteo Ambient Temperature (C),Magna_6 Meteo Air Pressure (hpa),Magna_6 Meteo Relative Humidity,Magna_6 Meteo Dew Point Temperature (C),Power Supply (V),Magna_6 Water EC muS/cm,Magna_6 Water Level Above Sensor mm,Magna_6 Segment 1_ (10-30cm) Soil Moisture_%,Temp_1,Magna_6 Segment 1_ (10-30 cm) Soil Electrical Conductivity_S/m,Magna_6 Segment 2_ (40-60 cm) Soil Moisture_%,Temp_2,Magna_6 Segment 2_ (40-60 cm) Soil Electrical Conductivity__S/m,Magna_6 Segment 3_ (70-90 cm) Soil Moisture_%,Temp_3,Magna_6 Segment 3_ (70-90 cm) Soil Electrical Conductivity__S/m,Magna_6 PH,Magna_6 ORP_mV,Magna_6 pH_Sensor_Temperature_C,Wind Speed (x10),Wind Direction (x10),Temperature (x10),Air Pressure (x10),Relative Humidity (x10),Dew Point Temperature (x10),Magna_6 Precipitation_24hr_mm,Magna_6 Cumulative Precipitation_mm,Magna_6 CTD_Temperature_C,CTD_Pressure_BAR,CTD_Conductivity__mS,Metres above MSL,TOW _MH2O,data_date,data_time
328.2,0.5,7.1,988.9,98.3,6.9,13.115,264.5,1685.9,72.3,0,2.12,72.96,0,2.12,72.98,0,1.98,0,0,0,5,3282,71,9889,983,69,55,308,8.848389,0.165328,0.264529,206.26,0.77,01/06/2022,00:08:00
0,0,7.1,988.9,98.4,6.9,13.087,264.5,1685.2,72.35,0,2.12,72.9,0,2.12,72.97,0,1.98,0,0,0,0,0,71,9889,984,69,0,308,8.848389,0.16526,0.264529,206.26,0.77,01/06/2022,00:18:00
26.3,0.4,7,988.9,98.5,6.8,13.087,264.6,1686.2,72.31,0,2.12,72.91,0,2.12,73.02,0,1.98,0,0,0,4,263,70,9889,985,68,0,308,8.848389,0.165357,0.264641,206.26,0.77,01/06/2022,00:28:00
255.3,0.5,7,989,98.8,6.8,13.087,264.7,1686.3,72.23,0,2.12,72.96,0,2.12,72.97,0,1.99,0,0,0,5,2553,70,9890,988,68,0,308,8.848389,0.165365,0.264703,206.26,0.77,01/06/2022,00:38:00
292.4,0.4,6.7,988.9,98.5,6.5,13.087,264.8,1686.5,72.37,0,2.13,72.9,0,2.13,72.95,0,1.98,0,0,0,4,2924,67,9889,985,65,0,308,8.848389,0.165394,0.264754,206.26,0.77,01/06/2022,00:48:00
148.3,0.3,6.3,988.9,98.6,6.1,13.087,264.6,1686.8,72.31,0,2.13,72.88,0,2.13,72.89,0,1.98,0,0,0,3,1483,63,9889,986,61,0,308,8.848389,0.165414,0.264641,206.26,0.77,01/06/2022,00:58:00
232.6,0.3,6.2,989,98.8,6,13.087,264.6,1686.9,72.33,0,2.13,72.96,0,2.12,72.97,0,1.98,0,0,0,3,2326,62,9890,988,60,0,308,8.848389,0.165428,0.264641,206.26,0.77,01/06/2022,01:08:00
337.1,0.8,5.8,989,99.4,5.7,13.049,264.6,1686.3,72.3,0,2.13,72.94,0,2.12,72.99,0,1.98,0,0,0,8,3371,58,9890,994,57,0,308,8.848389,0.16537,0.264641,206.26,0.77,01/06/2022,01:18:00
213.3,0.2,5.5,989,99.2,5.4,13.049,264.8,1687.2,72.3,0,2.13,72.83,0,2.13,72.98,0,1.98,0,0,0,2,2133,55,9890,992,54,0,308,8.848389,0.165456,0.264754,206.26,0.76,01/06/2022,01:28:00
323.7,0.3,5.1,989,98,4.9,13.049,264.8,1687.5,72.36,0,2.13,72.91,0,2.12,72.99,0,1.98,0,0,0,3,3237,51,9890,980,49,0,308,8.848389,0.165483,0.264754,206.26,0.76,01/06/2022,01:38:00
256.9,0.6,5.9,989.1,100,5.9,13.049,264.7,1687,72.38,0,2.12,72.93,0,2.12,72.99,0,1.98,0,0,0,6,2569,59,9891,1000,59,0,308,8.848389,0.165438,0.264693,206.26,0.76,01/06/2022,01:48:00
336.4,0.3,5,989,99.5,4.9,13.049,264.9,1687.6,72.36,0,2.13,72.86,0,2.13,73.05,0,1.98,0,0,0,3,3364,50,9890,995,49,0,308,8.848389,0.165494,0.264867,206.26,0.76,01/06/2022,01:58:00
210.5,0.4,4.7,989,99.8,4.7,13.049,264.9,1687.6,72.36,0,2.13,72.87,0,2.13,72.96,0,1.98,0,0,0,4,2105,47,9890,998,47,0,308,8.848389,0.165496,0.264929,206.26,0.76,01/06/2022,02:08:00
0,0,4.5,989.1,99.8,4.4,12.99,264.9,1687.2,72.3,0,2.12,72.91,0,2.12,73,0,1.98,0,0,0,0,0,45,9891,998,44,0,308,8.848389,0.165454,0.264867,206.26,0.76,01/06/2022,02:18:00
27.3,0.6,4.5,989.2,100,4.5,12.99,264.8,1687.6,72.31,0,2.12,72.88,0,2.12,73.02,0,1.98,0,0,0,6,273,45,9892,1000,45,0,308,8.848389,0.165495,0.264816,206.26,0.76,01/06/2022,02:28:00
123.8,0.6,4.4,989.1,100,4.4,12.99,264.9,1687.5,72.36,0,2.12,72.9,0,2.12,73.03,0,1.98,0,0,0,6,1238,44,9891,1000,44,0,308,8.848389,0.165489,0.264929,206.26,0.76,01/06/2022,02:38:00
264.2,0.4,4.7,989.1,100,4.7,12.99,265,1687.8,72.43,0,2.12,72.96,0,2.12,72.99,0,1.98,0,0,0,4,2642,47,9891,1000,47,0,308,8.848389,0.165518,0.265042,206.26,0.76,01/06/2022,02:48:00
85.9,0.6,4.7,989.1,100,4.7,12.99,265,1687.9,72.39,0,2.12,72.92,0,2.12,73,0,1.98,0,0,0,6,859,47,9891,1000,47,0,308,8.848389,0.165528,0.26498,206.26,0.76,01/06/2022,02:58:00
9.2,0.3,4.9,989.1,100,4.9,12.99,265,1688.2,72.32,0,2.12,72.91,0,2.12,72.97,0,1.98,0,0,0,3,92,49,9891,1000,49,0,308,8.844116,0.165552,0.26498,206.26,0.76,01/06/2022,03:08:00
72.2,0.8,5.1,989.2,100,5.1,12.954,265.1,1687.5,72.32,0,2.12,72.83,0,2.13,72.94,0,1.98,0,0,0,8,722,51,9892,1000,51,0,308,8.848389,0.165491,0.265093,206.26,0.76,01/06/2022,03:18:00
69.6,0.8,5.2,989.2,100,5.2,12.954,265.2,1688.6,72.35,0,2.12,72.91,0,2.12,73.08,0,1.98,0,0,0,8,696,52,9892,1000,52,0,308,8.8526,0.165594,0.265205,206.26,0.76,01/06/2022,03:28:00
83.5,0.8,5.2,989.3,100,5.2,12.954,265,1688.5,72.28,0,2.12,72.89,0,2.12,73.04,0,1.98,0,0,0,8,835,52,9893,1000,52,0,308,8.848389,0.165582,0.26498,206.26,0.76,01/06/2022,03:38:00
85.3,0.6,5.4,989.4,100,5.4,12.954,265.1,1688.6,72.26,0,2.12,72.9,0,2.12,73.03,0,1.98,0,0,0,6,853,54,9894,1000,54,0,308,8.848389,0.165596,0.265093,206.26,0.76,01/06/2022,03:48:00
346.6,0.6,5.5,989.6,100,5.5,12.954,265.1,1688.7,72.31,0,2.12,72.94,0,2.12,72.91,0,1.99,0,0,0,6,3466,55,9896,1000,55,0,308,8.848389,0.165609,0.265093,206.26,0.76,01/06/2022,03:58:00
11.4,0.5,5.8,989.6,100,5.8,12.954,265.1,1688.8,72.32,0,2.12,72.97,0,2.12,72.99,0,1.98,0,0,0,5,114,58,9896,1000,58,0,308,8.848389,0.165619,0.265093,206.26,0.76,01/06/2022,04:08:00
283.1,1.2,5.9,989.6,100,5.9,12.952,265.2,1688.3,72.31,0,2.12,72.95,0,2.12,72.99,0,1.98,0,0,0,12,2831,59,9896,1000,59,0,308,8.848389,0.165565,0.265205,206.26,0.76,01/06/2022,04:18:00
293.2,0.8,5.8,989.6,100,5.8,12.952,265.1,1689.3,72.35,0,2.12,72.9,0,2.12,73.03,0,1.98,0,0,0,8,2932,58,9896,1000,58,0,308,8.848389,0.16566,0.265093,206.27,0.76,01/06/2022,04:28:00
312.6,1,5.8,989.7,100,5.8,12.952,265.3,1689.4,72.28,0,2.12,72.9,0,2.12,73.02,0,1.98,0,0,0,10,3126,58,9897,1000,58,0,308,8.848389,0.165669,0.265318,206.27,0.76,01/06/2022,04:38:00
313.2,0.9,5.9,989.8,100,5.9,12.952,265.3,1689.5,72.24,0,2.12,72.92,0,2.12,72.98,0,1.98,0,0,0,9,3132,59,9898,1000,59,0,308,8.848389,0.16568,0.265318,206.27,0.76,01/06/2022,04:48:00
317,1.1,5.9,989.8,100,5.9,12.952,265.3,1689.7,72.24,0,2.12,72.87,0,2.13,73.02,0,1.98,0,0,0,11,3170,59,9898,1000,59,0,308,8.8526,0.1657,0.265318,206.27,0.76,01/06/2022,04:58:00
299.6,0.6,6,989.9,100,6,12.952,265.4,1689.8,72.28,0,2.12,72.87,0,2.13,72.97,0,1.98,0,0,0,6,2996,60,9899,1000,60,0,308,8.848389,0.16571,0.265431,206.27,0.76,01/06/2022,05:08:00
316.3,0.8,6.2,989.9,100,6.2,12.952,265.4,1689.9,72.28,0,2.12,72.96,0,2.12,73,0,1.98,0,0,0,8,3163,62,9899,1000,62,0,308,8.848389,0.165726,0.265431,206.27,0.76,01/06/2022,05:18:00
