iter	RMSE
0	7.035408903
1	6.636431003
2	6.250791019
3	5.891757626
4	5.559857852
5	5.242372148
6	4.950063151
7	4.673358416
8	4.417534955
9	4.170703115
10	3.941786762
11	3.725835355
12	3.524558687
13	3.336742435
14	3.160005475
15	2.998502974
16	2.841200581
17	2.694054298
18	2.560658153
19	2.430319534
20	2.306506932
21	2.194261916
22	2.086336126
23	1.987328618
24	1.895464257
25	1.807692208
26	1.725742128
27	1.645494622
28	1.571563746
29	1.499896593
30	1.433925228
31	1.372782216
32	1.318148541
33	1.26487808
34	1.214466735
35	1.164892454
36	1.121796028
37	1.077847475
38	1.037645534
39	0.9993705551
40	0.9614144032
41	0.9287787598
42	0.9011997747
43	0.8706720882
44	0.8419416273
45	0.8165769088
46	0.7922845294
47	0.7695857233
48	0.7478456763
49	0.7260237415
50	0.7078035765
51	0.6894615371
52	0.6715320438
53	0.6546922402
54	0.6393255967
55	0.6248311811
56	0.6103617878
57	0.596464658
58	0.5834213048
59	0.5718715543
60	0.5609444378
61	0.5491476569
62	0.5377968856
63	0.5284791572
64	0.5185984454
65	0.5094591692
66	0.5000614624
67	0.4916912974
68	0.4825867841
69	0.4741667429
70	0.4681945455
71	0.4613738011
72	0.4546857811
73	0.4487973408
74	0.4416550983
75	0.4351239217
76	0.4286319528
77	0.4237836751
78	0.4185707306
79	0.4121953973
80	0.407527611
81	0.4036848322
82	0.3990474393
83	0.3942025256
84	0.390807581
85	0.3861225849
86	0.3826004981
87	0.37823444
88	0.3733823669
89	0.3688569467
90	0.3643689136
91	0.3614394268
92	0.3580999042
93	0.3545801761
94	0.3512101402
95	0.3487065781
96	0.3450632823
97	0.3427991565
98	0.3389022587
99	0.3365855271
100	0.3345579905
101	0.3323816908
102	0.3289121516
103	0.3268607813
104	0.3253145356
105	0.3224813848
106	0.3219637091
107	0.3181626955
108	0.3164973079
109	0.3138759352
110	0.3111618087
111	0.3090113223
112	0.3067437774
113	0.3043784803
114	0.3021176716
115	0.300869497
116	0.2984979873
117	0.297144653
118	0.2953828415
119	0.2928771104
120	0.2907012009
121	0.2884419033
122	0.2864060928
123	0.2843050517
124	0.2814834154
125	0.2793381347
126	0.2775174628
127	0.2755786278
128	0.2739023084
129	0.2723704216
130	0.2704626313
131	0.2686873694
132	0.2677657316
133	0.2658955524
134	0.2638295014
135	0.2622805459
136	0.2603641536
137	0.2601248097
138	0.2589659681
139	0.2572874296
140	0.2561682724
141	0.2551672297
142	0.2543229477
143	0.2535083104
144	0.2525450268
145	0.251702262
146	0.250996761
147	0.2493312337
148	0.2486939563
149	0.247033163
150	0.2456115014
151	0.2449963763
152	0.2427822695
153	0.2410824652
154	0.2398776018
155	0.2379288342
156	0.2372937385
157	0.2360308024
158	0.2343499856
159	0.2325979672
160	0.2311819829
161	0.2306325028
162	0.2291731012
163	0.228390836
164	0.2278009666
165	0.2259440873
166	0.2255675439
167	0.2243689134
168	0.2229556831
169	0.2223233837
170	0.2220445947
171	0.2206706365
172	0.2205624394
173	0.219246287
174	0.2181895455
175	0.2180848268
176	0.2169177423
177	0.2167787666
178	0.2158017295
179	0.214568859
180	0.2135048278
181	0.2127111697
182	0.2115191304
183	0.2107501947
184	0.2094735705
185	0.2086766077
186	0.2075946734
187	0.2067377673
188	0.2057170021
189	0.2048405093
190	0.204611953
191	0.2036052077
192	0.2023380094
193	0.2017750201
194	0.2009896717
195	0.2003478326
196	0.1989717715
197	0.1980350189
198	0.1970752832
199	0.19607646
200	0.195176224
201	0.1938209997
202	0.1931103112
203	0.1922142299
204	0.1912395282
205	0.1908454309
206	0.1901593696
207	0.1896701225
208	0.1890206698
209	0.1876043126
210	0.186622147
211	0.1853570087
212	0.1849050611
213	0.1837962806
214	0.1824727503
215	0.1816314313
216	0.1809588091
217	0.1805847511
218	0.1799759718
219	0.179442546
220	0.1781689114
221	0.1779754103
222	0.1769644193
223	0.1760022946
224	0.1753162027
225	0.17473157
226	0.174312309
227	0.1741699608
228	0.1740429104
229	0.1735729807
230	0.1732168031
231	0.1721247522
232	0.1720929097
233	0.1712429031
234	0.1703549188
235	0.1693506658
236	0.1687310596
237	0.1687005421
238	0.168578961
239	0.1680144433
240	0.1674214217
241	0.1665659518
242	0.165909181
243	0.1658043195
244	0.1654600883
245	0.1648569006
246	0.1648327362
247	0.1641466164
248	0.163288752
249	0.162440951
250	0.1624141291
251	0.1618767595
252	0.1614833408
253	0.1611420829
254	0.1611238841
255	0.1602518129
256	0.1602266223
257	0.1597732846
258	0.1589436938
259	0.1585105743
260	0.1584221255
261	0.1579449778
262	0.1574761805
263	0.1571797305
264	0.1567209479
265	0.1562752974
266	0.1558466123
267	0.1552508746
268	0.1546702349
269	0.1541502311
270	0.1534779102
271	0.1530276095
272	0.1529540363
273	0.1523732652
274	0.1520092045
275	0.1518137309
276	0.1513232078
277	0.1513015654
278	0.1508883496
279	0.1504425354
280	0.1498490038
281	0.1493909594
282	0.1489842616
283	0.1487007958
284	0.1480465916
285	0.1479848432
286	0.1476838957
