iter	Passed	Remaining
0	104	104649
1	139	69517
2	174	57970
3	214	53354
4	253	50356
5	289	47878
6	325	46177
7	367	45616
8	406	44729
9	444	44023
10	481	43315
11	518	42717
12	553	42020
13	590	41558
14	628	41278
15	672	41357
16	704	40743
17	734	40077
18	770	39784
19	810	39710
20	841	39247
21	879	39117
22	915	38898
23	953	38756
24	988	38541
25	1024	38381
26	1064	38344
27	1098	38146
28	1138	38105
29	1185	38335
30	1222	38199
31	1260	38133
32	1298	38037
33	1333	37875
34	1372	37836
35	1412	37835
36	1462	38076
37	1512	38285
38	1557	38374
39	1597	38341
40	1653	38680
41	1695	38679
42	1733	38580
43	1776	38598
44	1814	38503
45	1849	38353
46	1885	38232
47	1921	38116
48	1955	37960
49	1995	37912
50	2032	37827
51	2081	37945
52	2124	37965
53	2161	37862
54	2200	37808
55	2240	37764
56	2277	37682
57	2317	37647
58	2358	37619
59	2394	37510
60	2426	37348
61	2460	37231
62	2498	37156
63	2542	37185
64	2577	37070
65	2614	36997
66	2657	37002
67	2686	36823
68	2721	36718
69	2755	36602
70	2785	36449
71	2828	36451
72	2863	36357
73	2897	36261
74	2925	36078
75	2960	35994
76	2999	35957
77	3036	35890
78	3075	35850
79	3111	35780
80	3146	35700
81	3181	35615
82	3217	35546
83	3252	35465
84	3288	35398
85	3320	35291
86	3357	35237
87	3394	35184
88	3424	35055
89	3457	34960
90	3496	34923
91	3536	34900
92	3571	34828
93	3603	34735
94	3637	34656
95	3677	34629
96	3710	34543
97	3744	34463
98	3782	34422
99	3818	34367
100	3854	34310
101	3889	34246
102	3927	34203
103	3962	34141
104	4004	34131
105	4037	34056
106	4073	33999
107	4114	33983
108	4145	33884
109	4177	33801
110	4206	33691
111	4240	33622
112	4273	33545
113	4310	33501
114	4342	33418
115	4380	33379
116	4417	33340
117	4448	33251
118	4481	33179
119	4523	33172
120	4557	33104
121	4591	33042
122	4620	32945
123	4655	32889
124	4693	32851
125	4721	32751
126	4759	32718
127	4795	32667
128	4828	32599
129	4861	32534
130	4900	32506
131	4934	32447
132	4970	32404
133	5008	32365
134	5048	32346
135	5083	32294
136	5123	32273
137	5160	32234
138	5195	32184
139	5237	32171
140	5276	32146
141	5314	32110
142	5354	32088
143	5391	32052
144	5437	32061
145	5481	32065
146	5523	32049
147	5556	31989
148	5593	31946
149	5628	31893
150	5665	31857
151	5706	31835
152	5744	31803
153	5785	31781
154	5820	31728
155	5850	31654
156	5886	31604
157	5928	31595
158	5965	31554
159	6005	31531
160	6040	31480
161	6078	31444
162	6111	31384
163	6148	31341
164	6188	31315
165	6233	31317
166	6266	31258
167	6304	31221
168	6345	31200
169	6381	31158
170	6424	31146
171	6468	31140
172	6503	31088
173	6543	31065
174	6595	31092
175	6636	31071
176	6674	31034
177	6713	31000
178	6763	31022
179	6809	31022
180	6854	31017
181	6888	30962
182	6927	30926
183	6976	30938
184	7011	30886
185	7053	30866
186	7092	30834
187	7130	30798
188	7177	30797
189	7215	30761
190	7251	30714
191	7292	30689
192	7334	30669
193	7374	30639
194	7421	30636
195	7462	30611
196	7502	30579
197	7541	30545
198	7580	30511
199	7624	30497
200	7671	30493
201	7699	30418
202	7732	30358
203	7768	30310
204	7806	30272
205	7845	30239
206	7889	30224
207	7929	30194
208	7974	30180
209	8013	30146
210	8054	30119
211	8090	30070
212	8125	30020
