Magna_6 Wind Direction,Magna_6 Wind Speed (m/s),Magna_6 Meteo Ambient Temperature (C),Magna_6 Meteo Air Pressure (hpa),Magna_6 Meteo Relative Humidity,Magna_6 Meteo Dew Point Temperature (C),Power Supply (V),Magna_6 Water EC muS/cm,Magna_6 Water Level Above Sensor mm,Magna_6 Segment 1_ (10-30cm) Soil Moisture_%,Temp_1,Magna_6 Segment 1_ (10-30 cm) Soil Electrical Conductivity_S/m,Magna_6 Segment 2_ (40-60 cm) Soil Moisture_%,Temp_2,Magna_6 Segment 2_ (40-60 cm) Soil Electrical Conductivity__S/m,Magna_6 Segment 3_ (70-90 cm) Soil Moisture_%,Temp_3,Magna_6 Segment 3_ (70-90 cm) Soil Electrical Conductivity__S/m,Magna_6 PH,Magna_6 ORP_mV,Magna_6 pH_Sensor_Temperature_C,Wind Speed (x10),Wind Direction (x10),Temperature (x10),Air Pressure (x10),Relative Humidity (x10),Dew Point Temperature (x10),Magna_6 Precipitation_24hr_mm,Magna_6 Cumulative Precipitation_mm,Magna_6 CTD_Temperature_C,CTD_Pressure_BAR,CTD_Conductivity__mS,Metres above MSL,TOW _MH2O,data_date,data_time
92,0.9,11.7,993.5,91.3,10.3,13.151,296,1373.5,53.51,0,2.16,71.86,0,2.22,74.36,0,2.09,6.68485,-477.561,10.151,9,920,117,9935,913,103,12,717,9.866455,0.134698,0.295952,205.95,1.08,01/08/2022,00:08:00
75,1,11.5,993.5,92.4,10.3,13.151,296,1373.5,53.51,0,2.16,71.86,0,2.22,74.32,0,2.09,6.71076,-477.346,10.1527,10,750,115,9935,924,103,0,717,9.866455,0.134696,0.295952,205.95,1.08,01/08/2022,00:18:00
120.8,1.1,11.8,993.4,93,10.7,13.151,296,1373.5,53.52,0,2.16,71.9,0,2.22,74.36,0,2.09,6.69066,-477.49,10.1544,11,1208,118,9934,930,107,0,717,9.866455,0.134696,0.296018,205.95,1.08,01/08/2022,00:28:00
95.7,1.1,11.8,993.4,92,10.6,13.151,295.9,1373.5,53.5,0,2.16,71.88,0,2.22,74.38,0,2.08,6.71919,-477.31,10.1527,11,957,118,9934,920,106,0,717,9.866455,0.134698,0.295885,205.95,1.08,01/08/2022,00:38:00
85.2,1.1,11.7,993.4,92.1,10.4,13.151,295.8,1373.5,53.5,0,2.16,71.88,0,2.22,74.36,0,2.09,6.71984,-477.31,10.1527,11,852,117,9934,921,104,0,717,9.866455,0.134695,0.295825,205.95,1.08,01/08/2022,00:48:00
112.1,0.5,11.8,993.6,92.8,10.6,13.134,296,1373.4,53.51,0,2.16,71.88,0,2.22,74.4,0,2.09,6.53956,-478.782,10.1527,5,1121,118,9936,928,106,0,717,9.866455,0.134687,0.295952,205.95,1.08,01/08/2022,00:58:00
109.9,1.9,11.9,993.5,92.4,10.8,13.134,296,1373.5,53.51,0,2.16,71.89,0,2.22,74.32,0,2.09,6.68415,-477.597,10.1527,19,1099,119,9935,924,108,0,717,9.866455,0.134696,0.296018,205.95,1.08,01/08/2022,01:08:00
104.2,1.2,12,993.4,91.9,10.7,13.134,296.1,1373.5,53.53,0,2.16,71.84,0,2.22,74.3,0,2.09,6.71011,-477.382,10.1527,12,1042,120,9934,919,107,0,717,9.866455,0.134693,0.296078,205.95,1.08,01/08/2022,01:18:00
109.2,1.6,12,993.4,92.1,10.8,13.134,295.8,1373.6,53.47,0,2.16,71.84,0,2.22,74.35,0,2.09,6.71204,-477.346,10.1544,16,1092,120,9934,921,108,0,717,9.866455,0.134701,0.295825,205.95,1.08,01/08/2022,01:28:00
113.1,1.3,12.1,993.4,92.1,10.9,13.134,296,1373.4,53.51,0,2.16,71.83,0,2.22,74.32,0,2.09,6.69066,-477.526,10.1544,13,1131,121,9934,921,109,0,717,9.866455,0.134689,0.295952,205.95,1.08,01/08/2022,01:38:00
128.7,0.9,12.2,993.5,91.7,10.9,13.134,295.9,1373.4,53.49,0,2.16,71.87,0,2.22,74.32,0,2.09,6.69064,-477.526,10.1527,9,1287,122,9935,917,109,0,717,9.866455,0.134681,0.295885,205.95,1.08,01/08/2022,01:48:00
139.1,1.2,12.3,993.4,91.4,11,13.117,295.9,1373.3,53.52,0,2.16,71.83,0,2.22,74.38,0,2.09,6.56031,-478.638,10.1544,12,1391,123,9934,914,110,0,717,9.870605,0.134676,0.295885,205.95,1.08,01/08/2022,01:58:00
34.4,0.7,12.4,993.4,90.9,10.9,13.117,296,1373.4,53.55,0,2.16,71.92,0,2.22,74.3,0,2.09,6.71268,-477.382,10.1544,7,344,124,9934,909,109,0,717,9.866455,0.134681,0.295952,205.95,1.08,01/08/2022,02:08:00
44.1,0.5,12.2,993.4,91.3,10.9,13.117,296,1373.3,53.57,0,2.16,71.88,0,2.22,74.3,0,2.09,6.71658,-477.346,10.1527,5,441,122,9934,913,109,0,717,9.866455,0.134677,0.295952,205.95,1.08,01/08/2022,02:18:00
209.7,0.5,12.2,993.4,92.2,11,13.117,295.8,1373.3,53.5,0,2.16,71.84,0,2.22,74.36,0,2.09,6.69191,-477.526,10.1544,5,2097,122,9934,922,110,0,717,9.870605,0.134678,0.295759,205.95,1.08,01/08/2022,02:28:00
217.8,0.6,12.4,993.2,91.5,11,13.117,295.9,1373.3,53.56,0,2.16,71.84,0,2.22,74.36,0,2.09,6.7172,-477.31,10.1544,6,2178,124,9932,915,110,0,717,9.866455,0.134673,0.295885,205.95,1.08,01/08/2022,02:38:00
116.5,0.7,12.1,993.1,92.3,10.9,13.117,296.1,1373.3,53.52,0,2.16,71.91,0,2.22,74.36,0,2.09,6.68997,-477.454,10.1544,7,1165,121,9931,923,109,0,717,9.870605,0.134675,0.296078,205.95,1.08,01/08/2022,02:48:00
0,0,12.1,993.1,92.5,10.9,13.098,296,1373.3,53.57,0,2.15,71.83,0,2.22,74.38,0,2.09,6.55836,-478.566,10.1561,0,0,121,9931,925,109,0,717,9.870605,0.134671,0.295952,205.95,1.08,01/08/2022,02:58:00
339.2,0.3,12.2,993.1,92.8,11,13.098,296,1373.2,53.55,0,2.15,71.9,0,2.22,74.3,0,2.09,6.71072,-477.274,10.1544,3,3392,122,9931,928,110,0,717,9.866455,0.134669,0.296011,205.95,1.08,01/08/2022,03:08:00
230.7,0.6,12.3,993.1,93.1,11.2,13.098,296,1373.2,53.52,0,2.16,71.86,0,2.22,74.33,0,2.09,6.71396,-477.274,10.1544,6,2307,123,9931,931,112,0,717,9.870605,0.134665,0.295952,205.95,1.08,01/08/2022,03:18:00
244.3,1.5,12.6,993.2,92.6,11.4,13.098,295.9,1373.2,53.55,0,2.16,71.81,0,2.22,74.33,0,2.09,6.68869,-477.454,10.1544,15,2443,126,9932,926,114,0,717,9.870605,0.134669,0.295885,205.95,1.08,01/08/2022,03:28:00
247.3,1.3,12.8,993.1,91.6,11.4,13.098,296.1,1373.2,53.56,0,2.16,71.85,0,2.22,74.37,0,2.08,6.71588,-477.274,10.1561,13,2473,128,9931,916,114,0,717,9.870605,0.134664,0.296078,205.95,1.08,01/08/2022,03:38:00
249.8,1.9,12.8,993.1,91,11.4,13.098,296.1,1373.2,53.55,0,2.16,71.82,0,2.22,74.34,0,2.09,6.68867,-477.454,10.1561,19,2498,128,9931,910,114,0,717,9.870605,0.134664,0.296078,205.95,1.08,01/08/2022,03:48:00
259.1,2.5,12.7,993,90.4,11.2,13.069,296,1373.3,53.56,0,2.16,71.8,0,2.22,74.26,0,2.08,6.53176,-478.818,10.1561,25,2591,127,9930,904,112,0,717,9.870605,0.134673,0.295952,205.95,1.08,01/08/2022,03:58:00
264.6,1.5,12.7,993,88.6,10.9,13.069,296,1373.1,53.52,0,2.17,71.77,0,2.21,74.28,0,2.07,6.68154,-477.526,10.1578,15,2646,127,9930,886,109,0,717,9.870605,0.134657,0.296011,205.95,1.08,01/08/2022,04:08:00
268.2,2.2,12.5,992.9,88.2,10.7,13.069,295.9,1373.2,53.54,0,2.17,71.82,0,2.22,74.3,0,2.08,6.69319,-477.49,10.1544,22,2682,125,9929,882,107,0,717,9.866455,0.134663,0.295885,205.95,1.08,01/08/2022,04:18:00
282.1,1.5,12.4,992.9,88.4,10.6,13.069,296.1,1373.2,53.53,0,2.17,71.8,0,2.22,74.25,0,2.07,6.68997,-477.49,10.1578,15,2821,124,9929,884,106,0,717,9.870605,0.134669,0.296078,205.95,1.08,01/08/2022,04:28:00
259.9,1.5,12.2,992.9,89.6,10.6,13.069,295.9,1373.1,53.59,0,2.17,71.73,0,2.21,74.29,0,2.07,6.69062,-477.526,10.1561,15,2599,122,9929,896,106,0,717,9.870605,0.134659,0.295885,205.95,1.08,01/08/2022,04:38:00
278.7,1.3,12,992.8,90.5,10.5,13.069,295.9,1373.1,53.58,0,2.17,71.81,0,2.22,74.34,0,2.08,6.71783,-477.274,10.1578,13,2787,120,9928,905,105,0,717,9.874817,0.134656,0.295885,205.95,1.08,01/08/2022,04:48:00
262.4,2.1,11.9,992.9,90.8,10.5,13.017,296.1,1373.2,53.6,0,2.17,71.85,0,2.22,74.33,0,2.08,6.56223,-478.602,10.1561,21,2624,119,9929,908,105,0,717,9.870605,0.134663,0.296078,205.95,1.08,01/08/2022,04:58:00
287.2,1.8,11.8,992.9,90.2,10.2,13.017,296.1,1373.1,53.61,0,2.16,71.85,0,2.22,74.33,0,2.08,6.68476,-477.561,10.1578,18,2872,118,9929,902,102,0,717,9.870605,0.134656,0.296078,205.95,1.08,01/08/2022,05:08:00
260,1.7,11.5,993,88.7,9.7,13.017,296,1373.1,53.66,0,2.16,71.83,0,2.22,74.32,0,2.09,6.69191,-477.49,10.1578,17,2600,115,9930,887,97,0,717,9.870605,0.134656,0.295952,205.95,1.08,01/08/2022,05:18:00
280.4,1.2,11.3,993.1,87.4,9.3,13.017,295.9,1373,53.65,0,2.16,71.84,0,2.22,74.37,0,2.08,6.71846,-477.346,10.1561,12,2804,113,9931,874,93,0,717,9.870605,0.13465,0.295885,205.95,1.08,01/08/2022,05:28:00
261.2,0.8,11.7,993.3,84.7,9.2,13.017,295.9,1373,53.61,0,2.17,71.77,0,2.21,74.37,0,2.07,6.69189,-477.49,10.1561,8,2612,117,9933,847,92,0,717,9.870605,0.134646,0.295885,205.95,1.08,01/08/2022,05:38:00
261.2,1.8,11.9,993.2,82.7,9.1,13.017,296.1,1373,53.61,0,2.16,71.85,0,2.21,74.18,0,2.07,6.6906,-477.526,10.1578,18,2612,119,9932,827,91,0,717,9.870605,0.134646,0.296078,205.95,1.08,01/08/2022,05:48:00
257.4,1.6,12.1,993.3,82.7,9.2,13.452,295.9,1373.3,53.61,0,2.17,71.74,0,2.21,74.33,0,2.06,6.557,-478.71,10.1578,16,2574,121,9933,827,92,0,717,9.870605,0.134673,0.295885,205.95,1.08,01/08/2022,05:58:00
261.9,2.4,12.2,993.3,82.1,9.3,13.452,296,1373.1,53.61,0,2.17,71.75,0,2.21,74.21,0,2.07,6.69189,-477.561,10.1561,24,2619,122,9933,821,93,0,717,9.870605,0.134655,0.295952,205.95,1.08,01/08/2022,06:08:00
286,1.6,12.3,993.4,82.5,9.4,13.452,296,1373,53.61,0,2.17,71.77,0,2.21,74.26,0,2.06,6.71783,-477.346,10.1578,16,2860,123,9934,825,94,0,717,9.870605,0.134645,0.296011,205.95,1.08,01/08/2022,06:18:00
262.1,2.5,12.4,993.4,82.8,9.6,13.452,295.9,1373,53.62,0,2.17,71.81,0,2.21,74.33,0,2.07,6.71975,-477.346,10.1578,25,2621,124,9934,828,96,0,717,9.870605,0.134643,0.295885,205.95,1.08,01/08/2022,06:28:00
251.4,2.5,12.7,993.3,81.4,9.6,13.452,296,1373.1,53.49,0,2.17,71.73,0,2.21,74.28,0,2.06,6.69576,-477.526,10.1578,25,2514,127,9933,814,96,0,717,9.870605,0.13466,0.296011,205.95,1.08,01/08/2022,06:38:00
277.7,2.8,12.7,993.3,79.1,9.2,13.452,296,1373.1,53.5,0,2.17,71.73,0,2.21,74.31,0,2.06,6.69382,-477.561,10.1578,28,2777,127,9933,791,92,0,717,9.870605,0.134651,0.295952,205.95,1.08,01/08/2022,06:48:00
267.4,1.7,13.1,993.4,78.8,9.5,13.735,295.9,1372.9,53.57,0,2.16,71.8,0,2.21,74.29,0,2.07,6.56219,-478.674,10.1578,17,2674,131,9934,788,95,0,717,9.870605,0.134636,0.295885,205.95,1.08,01/08/2022,06:58:00
298.9,2.2,13.3,993.4,75.9,9.2,13.735,296,1372.9,53.62,0,2.16,71.9,0,2.21,74.34,0,2.08,6.688,-477.561,10.1594,22,2989,133,9934,759,92,0,717,9.870605,0.134635,0.295952,205.95,1.08,01/08/2022,07:08:00
