Magna_6 Wind Direction,Magna_6 Wind Speed (m/s),Magna_6 Meteo Ambient Temperature (C),Magna_6 Meteo Air Pressure (hpa),Magna_6 Meteo Relative Humidity,Magna_6 Meteo Dew Point Temperature (C),Power Supply (V),Magna_6 Water EC muS/cm,Magna_6 Water Level Above Sensor mm,Magna_6 Segment 1_ (10-30cm) Soil Moisture_%,Temp_1,Magna_6 Segment 1_ (10-30 cm) Soil Electrical Conductivity_S/m,Magna_6 Segment 2_ (40-60 cm) Soil Moisture_%,Temp_2,Magna_6 Segment 2_ (40-60 cm) Soil Electrical Conductivity__S/m,Magna_6 Segment 3_ (70-90 cm) Soil Moisture_%,Temp_3,Magna_6 Segment 3_ (70-90 cm) Soil Electrical Conductivity__S/m,Magna_6 PH,Magna_6 ORP_mV,Magna_6 pH_Sensor_Temperature_C,Wind Speed (x10),Wind Direction (x10),Temperature (x10),Air Pressure (x10),Relative Humidity (x10),Dew Point Temperature (x10),Magna_6 Precipitation_24hr_mm,Magna_6 Cumulative Precipitation_mm,Magna_6 CTD_Temperature_C,CTD_Pressure_BAR,CTD_Conductivity__mS,Metres above MSL,TOW _MH2O,data_date,data_time
226.5,3.7,8.4,996.1,94.3,7.5,13.089,422.8,1754.6,92.72,0,2.16,78.01,0,2.22,78.84,0,2.05,8.50717,-539.455,8.85812,37,2265,84,9961,943,75,6,44,8.5896,0.172068,0.422807,no-data,no-data,01/05/2022,00:02:00
225.6,2.4,8.3,996.1,95.5,7.6,13.089,422.9,1754.5,94.61,0,2.17,77.99,0,2.22,78.75,0,2.05,8.2887,-540.1,8.85812,24,2256,83,9961,955,76,1,45,8.593872,0.172055,0.422906,no-data,no-data,01/05/2022,00:12:00
241.1,2.9,8.3,996,95,7.6,13.089,422.8,1754.5,94.57,0,2.17,78,0,2.22,78.84,0,2.05,8.32652,-540.136,8.85812,29,2411,83,9960,950,76,1,45,8.5896,0.172055,0.422807,no-data,no-data,01/05/2022,00:22:00
238.3,2.5,8.3,995.9,95.3,7.6,13.089,422.9,1754.7,95.82,0,2.17,77.95,0,2.22,78.79,0,2.05,8.32372,-540.064,8.85812,25,2383,83,9959,953,76,1,45,8.593872,0.172073,0.422906,no-data,no-data,01/05/2022,00:32:00
224.9,3.2,8.3,995.8,95.5,7.6,13.089,422.8,1754.7,97.3,0,2.17,78.06,0,2.21,78.74,0,2.05,8.33002,-539.885,8.85812,32,2249,83,9958,955,76,1,45,8.593872,0.172073,0.422807,no-data,no-data,01/05/2022,00:42:00
212.1,2.7,8.3,995.7,96.1,7.7,13.063,422.9,1755,97.52,0,2.17,78,0,2.22,78.75,0,2.05,8.50227,-538.56,8.85812,27,2121,83,9957,961,77,1,45,8.5896,0.172105,0.422906,no-data,no-data,01/05/2022,00:52:00
238,3.2,8.4,995.7,96.4,7.8,13.063,423,1754.8,99.78,0,2.18,78.01,0,2.22,78.83,0,2.05,8.34752,-539.241,8.85812,32,2380,84,9957,964,78,1,45,8.593872,0.172084,0.423016,no-data,no-data,01/05/2022,01:02:00
236.1,2.8,8.4,995.6,96.6,7.9,13.063,423.1,1755,100,0,2.19,78.05,0,2.22,78.8,0,2.05,8.55129,-538.99,8.85812,28,2361,84,9956,966,79,1,45,8.5896,0.17211,0.423126,no-data,no-data,01/05/2022,01:12:00
237.5,2.1,8.4,995.5,97.2,8,13.063,423.1,1755,100,0,2.19,78.02,0,2.22,78.87,0,2.05,8.36223,-539.097,8.85812,21,2375,84,9955,972,80,2,46,8.593872,0.17211,0.423126,no-data,no-data,01/05/2022,01:22:00
235.3,1.9,8.5,995.5,97.2,8.1,13.063,422.8,1755,100,0,2.21,78.01,0,2.21,78.8,0,2.05,8.35733,-539.097,8.85812,19,2353,85,9955,972,81,2,46,8.593872,0.172106,0.422807,no-data,no-data,01/05/2022,01:32:00
230.6,2.6,8.4,995.4,97.3,8.1,13.063,422.8,1755.1,100,0,2.21,78.04,0,2.21,78.84,0,2.05,8.35382,-538.954,8.85812,26,2306,84,9954,973,81,2,46,8.593872,0.172119,0.422796,no-data,no-data,01/05/2022,01:42:00
223.6,2.1,8.5,995.3,96.5,8,13.032,422.9,1755.1,100,0,2.23,78.01,0,2.21,78.84,0,2.05,8.36153,-538.847,8.85812,21,2236,85,9953,965,80,2,46,8.593872,0.172117,0.422906,no-data,no-data,01/05/2022,01:52:00
214.8,2.3,8.6,995.3,96.2,8,13.032,422.9,1755.3,100,0,2.24,78.06,0,2.21,78.79,0,2.05,8.55409,-538.166,8.85812,23,2148,86,9953,962,80,3,47,8.593872,0.17214,0.422906,no-data,no-data,01/05/2022,02:02:00
204.7,1.6,8.6,995.2,96.3,8,13.032,422.7,1755.6,100,0,2.25,78.06,0,2.21,78.79,0,2.05,8.34332,-538.775,8.85812,16,2047,86,9952,963,80,4,48,8.593872,0.172166,0.422697,no-data,no-data,01/05/2022,02:12:00
248.4,0.7,8.5,995.2,97,8.1,13.032,422.6,1756,100,0,2.27,78.08,0,2.21,78.95,0,2.04,8.3832,-538.739,8.85971,7,2484,85,9952,970,81,4,48,8.5896,0.172204,0.422587,no-data,no-data,01/05/2022,02:22:00
