Magna_6 Wind Direction,Magna_6 Wind Speed (m/s),Magna_6 Meteo Ambient Temperature (C),Magna_6 Meteo Air Pressure (hpa),Magna_6 Meteo Relative Humidity,Magna_6 Meteo Dew Point Temperature (C),Power Supply (V),Magna_6 Water EC muS/cm,Magna_6 Water Level Above Sensor mm,Magna_6 Segment 1_ (10-30cm) Soil Moisture_%,Temp_1,Magna_6 Segment 1_ (10-30 cm) Soil Electrical Conductivity_S/m,Magna_6 Segment 2_ (40-60 cm) Soil Moisture_%,Temp_2,Magna_6 Segment 2_ (40-60 cm) Soil Electrical Conductivity__S/m,Magna_6 Segment 3_ (70-90 cm) Soil Moisture_%,Temp_3,Magna_6 Segment 3_ (70-90 cm) Soil Electrical Conductivity__S/m,Magna_6 PH,Magna_6 ORP_mV,Magna_6 pH_Sensor_Temperature_C,Wind Speed (x10),Wind Direction (x10),Temperature (x10),Air Pressure (x10),Relative Humidity (x10),Dew Point Temperature (x10),Magna_6 Precipitation_24hr_mm,Magna_6 Cumulative Precipitation_mm,Magna_6 CTD_Temperature_C,CTD_Pressure_BAR,CTD_Conductivity__mS,Metres above MSL,TOW _MH2O,data_date,data_time
91.9,1.4,11.3,1003.2,96.8,10.8,13.108,299.1,1467.4,61.3,0,2.09,79.15,0,2.25,79.33,0,2.18,6.49472,-471.03,10.7497,14,919,113,10032,968,108,0,1006,10.471558,0.143904,0.299083,206.04,0.98,01/09/2022,00:08:00
52.2,0.6,11.4,1003.2,96.9,10.9,13.108,299.1,1467.3,61.3,0,2.09,79.1,0,2.26,79.38,0,2.18,6.50831,-470.599,10.748,6,522,114,10032,969,109,0,1006,10.471558,0.143897,0.299083,206.04,0.98,01/09/2022,00:18:00
46.3,0.8,11.4,1003.1,96.9,10.9,13.108,299.2,1467.3,61.31,0,2.09,79.13,0,2.25,79.33,0,2.18,6.49731,-470.635,10.748,8,463,114,10031,969,109,0,1006,10.471558,0.143889,0.299207,206.04,0.98,01/09/2022,00:28:00
148.1,1.5,11.4,1003,96.9,10.9,13.108,299.3,1467.2,61.28,0,2.09,79.08,0,2.26,79.26,0,2.18,6.49472,-470.599,10.7497,15,1481,114,10030,969,109,0,1006,10.467346,0.143888,0.299273,206.04,0.98,01/09/2022,00:38:00
55.9,1.7,11.3,1003,97,10.9,13.108,299.2,1467.2,61.32,0,2.09,79.12,0,2.26,79.28,0,2.18,6.4986,-470.527,10.7497,17,559,113,10030,970,109,0,1006,10.471558,0.143888,0.299207,206.04,0.98,01/09/2022,00:48:00
141.9,1.7,11.3,1002.9,97.1,10.9,13.1,299.2,1467.1,61.29,0,2.09,79.02,0,2.26,79.26,0,2.18,6.26692,-473.255,10.7497,17,1419,113,10029,971,109,0,1006,10.471558,0.143878,0.299207,206.04,0.98,01/09/2022,00:58:00
94.1,1.5,11.3,1002.9,97.2,10.9,13.1,299.3,1467,61.28,0,2.09,79.16,0,2.26,79.26,0,2.18,6.49213,-470.922,10.748,15,941,113,10029,972,109,0,1006,10.471558,0.143868,0.299273,206.04,0.98,01/09/2022,01:08:00
96.7,0.6,11.4,1002.7,97.3,11,13.1,299.1,1467,61.28,0,2.09,79.03,0,2.26,79.32,0,2.18,6.49731,-470.599,10.7497,6,967,114,10027,973,110,0,1006,10.471558,0.143865,0.299149,206.04,0.98,01/09/2022,01:18:00
23.5,1.4,11.4,1002.7,97.4,11,13.1,299.1,1467,61.28,0,2.09,79.08,0,2.26,79.29,0,2.18,6.49278,-470.527,10.7497,14,235,114,10027,974,110,0,1006,10.471558,0.14386,0.299083,206.04,0.99,01/09/2022,01:28:00
98.6,1,11.4,1002.7,97.4,11,13.1,299.3,1466.9,61.29,0,2.09,79.15,0,2.26,79.23,0,2.18,6.50507,-470.312,10.7497,10,986,114,10027,974,110,0,1006,10.471558,0.143853,0.299273,206.04,0.99,01/09/2022,01:38:00
79,0.8,11.5,1002.7,97.5,11.1,13.1,299.2,1466.9,61.26,0,2.09,78.99,0,2.26,79.19,0,2.18,6.49405,-470.456,10.7497,8,790,115,10027,975,111,0,1006,10.471558,0.143849,0.299207,206.04,0.99,01/09/2022,01:48:00
121.6,1.1,11.5,1002.5,97.5,11.1,13.086,299.2,1466.8,61.25,0,2.09,79.05,0,2.26,79.32,0,2.18,6.276,-473.147,10.7497,11,1216,115,10025,975,111,0,1006,10.471558,0.143845,0.299207,206.04,0.99,01/09/2022,01:58:00
78.4,1.3,11.4,1002.5,97.5,11.1,13.086,299.2,1466.8,61.23,0,2.09,79.14,0,2.26,79.28,0,2.18,6.49278,-470.814,10.7515,13,784,114,10025,975,111,0,1006,10.471558,0.143841,0.299207,206.04,0.99,01/09/2022,02:08:00
97.4,1.4,11.4,1002.3,97.5,11,13.086,299.3,1466.7,61.25,0,2.09,79.13,0,2.26,79.31,0,2.18,6.50764,-470.348,10.7515,14,974,114,10023,975,110,0,1006,10.471558,0.143833,0.299273,206.04,0.99,01/09/2022,02:18:00
105.2,0.5,11.4,1002.5,97.6,11,13.086,299.1,1466.7,61.3,0,2.09,79.14,0,2.26,79.31,0,2.18,6.49405,-470.456,10.7515,5,1052,114,10025,976,110,0,1006,10.475708,0.143831,0.299083,206.04,0.99,01/09/2022,02:28:00
82.2,1.7,11.4,1002.4,97.7,11,13.086,299.2,1466.6,61.24,0,2.09,78.94,0,2.26,79.29,0,2.18,6.50893,-470.276,10.7515,17,822,114,10024,977,110,0,1006,10.475708,0.143828,0.299207,206.04,0.99,01/09/2022,02:38:00
112.7,0.9,11.3,1002.3,97.7,11,13.086,299.3,1466.5,61.24,0,2.09,78.92,0,2.26,79.23,0,2.18,6.49666,-470.384,10.7515,9,1127,113,10023,977,110,0,1006,10.471558,0.143817,0.299273,206.04,0.99,01/09/2022,02:48:00
78.4,1,11.3,1002.2,97.7,10.9,13.064,299.3,1466.4,61.26,0,2.1,79.02,0,2.26,79.28,0,2.18,6.27792,-473.111,10.7497,10,784,113,10022,977,109,0,1006,10.471558,0.143808,0.299273,206.04,0.99,01/09/2022,02:58:00
